,cooler,valve,pump,accumulator
SE_max,0.0,3.4575238e-05,0.0040708636,0.013244383
SE_range,0.0,0.0,0.0013358947,0.004888586
SE_kurt,3.8319722e-05,0.0020675247,9.541847e-05,0.019096153
SE_skew,3.337751e-05,0.0013306258,0.0,0.0037495096
SE_slope,0.0,0.0018389182,0.004179102,0.00037628418
SE_argmax,0.0,0.0,0.0,0.0
PS1_crest,0.0,9.745984e-05,0.0,4.581043e-05
PS2_crest,0.03227482,9.911888e-05,0.0,0.000162351
PS3_crest,0.00010862131,6.726208e-06,0.0,0.0
PS4_crest,0.0,0.0,0.0,3.881405e-05
PS5_crest,0.0,0.0,5.478459e-06,0.00010121546
PS6_crest,0.0,0.0,9.955608e-06,0.000105842715
EPS1_crest,0.0037612498,4.7951336e-05,0.0,0.02317895
VS1_crest,0.0,0.0,0.0019190226,0.00021394886
PS1_spec_energy,0.0,1.2301925e-05,0.0009195442,0.0046246094
PS1_dom_freq,0.0,0.0,0.0,0.0
PS1_spec_centroid,0.0,6.210072e-05,0.0004109243,0.08013037
PS2_spec_energy,0.0,3.845111e-05,0.00030506385,0.0021396412
PS2_dom_freq,0.0,0.0,0.0,0.0
PS2_spec_centroid,0.0,0.0027401336,4.449003e-05,0.00025319905
PS3_spec_energy,0.0,0.0,0.0013360485,0.009628165
PS3_dom_freq,0.0,0.0,0.0,0.0
PS3_spec_centroid,0.00014659514,1.7741064e-05,3.7956208e-05,0.002604532
PS4_spec_energy,0.0,0.0,1.7173184e-05,0.0
PS4_dom_freq,0.0,0.0,0.0,0.0
PS4_spec_centroid,0.0,0.0,0.0,4.656922e-06
PS5_spec_energy,0.0,0.0,0.00021843986,0.001677873
PS5_dom_freq,0.0,0.0,0.0,0.0
PS5_spec_centroid,0.0,0.0,3.5796143e-06,0.00021959345
PS6_spec_energy,0.0,0.0,0.0,0.0
PS6_dom_freq,0.0,0.0,0.0,0.0
PS6_spec_centroid,0.00045352685,3.3034707e-05,0.0,0.00032788285
EPS1_spec_energy,0.0,0.0,0.003426827,0.010181783
EPS1_dom_freq,0.0,0.0,0.0,0.0
EPS1_spec_centroid,0.0,2.229751e-05,0.0,0.005795747
FS1_spec_energy,0.0,0.0,0.1453704,0.00054241845
FS1_dom_freq,0.0,0.0,0.0,0.0
FS1_spec_centroid,0.0,0.0,0.0013295175,0.0010300985
FS2_spec_energy,0.0,0.0,1.3421405e-05,0.021704134
FS2_dom_freq,0.0,0.0,0.0,0.0
FS2_spec_centroid,0.0009847451,0.0,9.5228725e-06,0.024611153
cross_pressure_drop_1_2,0.0,0.0152454525,0.00021943508,9.75377e-05
cross_pressure_drop_2_4,0.058113083,0.0011954115,0.0,0.0010418126
cross_hydraulic_power,0.0,1.04656865e-05,0.0020102984,0.0014271635
cross_power_efficiency,0.0,0.00013945038,0.18150252,3.4092365e-05
cross_flow_imbalance,0.0018429618,3.0218958e-05,0.0,0.0031706209
cross_thermal_load_per_watt,0.00019363873,1.9002551e-05,0.0012314407,0.0028354274
